Model,Method,Method_Description,Rank,Feature,Importance_Score,Normalized_Score
LightGBM,native_gain,LightGBM native gain importance,7,Fz_min,166.473719899077,0.516132111135
LightGBM,native_gain,LightGBM native gain importance,8,Fx_energy,127.578453253955,0.395541929700
LightGBM,native_gain,LightGBM native gain importance,9,Fx_mean_abs,113.443426249316,0.351717947553
LightGBM,native_gain,LightGBM native gain importance,10,Ty_iqr,87.602797075990,0.271602128093
LightGBM,native_gain,LightGBM native gain importance,11,Fz_power,82.520744653419,0.255845824652
LightGBM,native_gain,LightGBM native gain importance,12,Ty_cv,62.841405962943,0.194832358801
LightGBM,native_gain,LightGBM native gain importance,13,Fz_peak_to_peak,54.001588840503,0.167425549629
LightGBM,native_gain,LightGBM native gain importance,14,Fz_peak_frequency,39.640177871683,0.122899690732
LightGBM,native_gain,LightGBM native gain importance,15,Tx_shape_factor,39.029426361900,0.121006127795
LightGBM,native_gain,LightGBM native gain importance,16,Tx_crest_factor,36.756892197300,0.113960403961
LightGBM,native_gain,LightGBM native gain importance,17,Tx_cv,34.934812473366,0.108311260930
LightGBM,native_gain,LightGBM native gain importance,18,Fx_power,31.838865369558,0.098712642508
LightGBM,native_gain,LightGBM native gain importance,19,Fz_variance,29.918856756936,0.092759882521
LightGBM,native_gain,LightGBM native gain importance,20,Fx_min,27.587154051056,0.085530713612
LightGBM,native_gain,LightGBM native gain importance,21,Ty_std,26.830970216542,0.083186254924
LightGBM,native_gain,LightGBM native gain importance,22,Ty_p90,18.722805605386,0.058047847969
LightGBM,native_gain,LightGBM native gain importance,23,Tx_energy,18.515815098770,0.057406098345
LightGBM,native_gain,LightGBM native gain importance,24,Fx_std,17.041248778813,0.052834379588
LightGBM,native_gain,LightGBM native gain importance,25,Tz_rms,14.185499719460,0.043980466840
LightGBM,native_gain,LightGBM native gain importance,26,Ty_shape_factor,12.794843458512,0.039668901313
LightGBM,native_gain,LightGBM native gain importance,27,Fz_slope,11.820885224079,0.036649258813
LightGBM,native_gain,LightGBM native gain importance,28,Fz_entropy,11.769903367851,0.036491195588
LightGBM,native_gain,LightGBM native gain importance,29,Fy_peak_frequency,11.607275911607,0.035986988363
LightGBM,native_gain,LightGBM native gain importance,30,Tx_min,11.346044226200,0.035177070369
LightGBM,native_gain,LightGBM native gain importance,31,Tz_mean_abs,11.159145519836,0.034597612999
LightGBM,native_gain,LightGBM native gain importance,32,Fz_last,10.973427531688,0.034021816307
LightGBM,native_gain,LightGBM native gain importance,33,Tz_mean,10.408201100305,0.032269398499
LightGBM,native_gain,LightGBM native gain importance,34,Fy_energy,10.320538608823,0.031997611295
LightGBM,native_gain,LightGBM native gain importance,35,Tz_last,9.937496043742,0.030810033052
LightGBM,native_gain,LightGBM native gain importance,36,Fy_mean_abs,9.265783159761,0.028727466572
